   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1050       50     0.00564133     0.00250678     0.00354776     0.00543691     0.00868745     0.01377495
    1050      100     0.00151189     0.00072255     0.00101939     0.00156723     0.00250401     0.00389969
    1050      150     0.00143197     0.00072772     0.00102425     0.00155264     0.00244964     0.00378030
    1050      200     0.00086936     0.00043536     0.00062120     0.00095253     0.00152199     0.00234855
    1050      250     0.00069764     0.00035706     0.00051695     0.00080190     0.00128752     0.00199786
    1050      300     0.00048842     0.00023660     0.00035409     0.00057120     0.00094452     0.00150156
    1050      350     0.00038934     0.00018545     0.00028381     0.00046516     0.00078047     0.00124640
    1050      400     0.00032768     0.00015328     0.00023928     0.00040070     0.00068494     0.00110616
    1050      450     0.00028070     0.00012942     0.00020493     0.00034884     0.00060743     0.00099364
    1050      500     0.00024929     0.00011782     0.00018402     0.00031087     0.00053632     0.00087797
    1050      550     0.00021524     0.00010014     0.00015719     0.00026990     0.00047198     0.00077959
    1050      600     0.00021380     0.00009770     0.00015419     0.00026587     0.00047158     0.00078492
    1050      650     0.00020327     0.00009393     0.00014822     0.00025562     0.00045138     0.00075455
    1050      700     0.00020493     0.00009602     0.00015179     0.00025848     0.00045436     0.00075753
    1050      750     0.00020855     0.00010271     0.00015913     0.00027075     0.00047159     0.00078213
    1050      800     0.00021873     0.00010736     0.00016783     0.00028321     0.00049546     0.00082402
    1050      850     0.00026522     0.00012800     0.00019809     0.00033728     0.00059032     0.00098518
    1050      867     0.00032162     0.00015336     0.00023669     0.00040092     0.00070442     0.00117497
    1050      883     0.00032265     0.00015771     0.00024479     0.00041134     0.00071673     0.00118866
    1050      900     0.00036802     0.00018017     0.00027793     0.00047133     0.00082057     0.00136576
    1050      950     0.00047039     0.00021940     0.00034284     0.00058564     0.00103848     0.00175166
    1050      965     0.00027641     0.00013390     0.00020515     0.00034610     0.00060253     0.00100657
    1100       50     0.00544817     0.00247475     0.00348138     0.00527782     0.00839217     0.01311866
    1100      100     0.00247539     0.00124288     0.00175649     0.00267309     0.00423948     0.00657939
    1100      150     0.00147933     0.00071799     0.00101498     0.00154435     0.00244294     0.00376294
    1100      200     0.00094435     0.00048570     0.00069278     0.00106247     0.00169784     0.00263197
    1100      250     0.00066901     0.00034705     0.00050237     0.00077957     0.00125794     0.00196174
    1100      300     0.00052604     0.00027137     0.00039592     0.00062593     0.00101508     0.00159095
    1100      350     0.00041614     0.00020926     0.00031323     0.00050507     0.00083941     0.00133446
    1100      400     0.00033495     0.00016297     0.00024896     0.00041305     0.00069274     0.00111510
    1100      450     0.00028341     0.00013022     0.00020466     0.00034708     0.00059890     0.00097351
    1100      500     0.00024805     0.00011470     0.00018024     0.00030563     0.00052979     0.00087001
    1100      550     0.00021338     0.00009988     0.00015770     0.00027179     0.00047564     0.00078559
    1100      600     0.00019299     0.00008969     0.00014150     0.00024414     0.00042910     0.00071554
    1100      650     0.00019961     0.00009185     0.00014503     0.00025034     0.00043981     0.00073354
    1100      700     0.00018994     0.00008901     0.00014029     0.00023978     0.00041943     0.00069766
    1100      750     0.00019176     0.00009033     0.00014173     0.00024335     0.00042772     0.00071799
    1100      800     0.00020388     0.00009821     0.00015387     0.00026181     0.00045799     0.00076189
    1100      850     0.00022623     0.00010939     0.00017126     0.00029143     0.00051186     0.00084803
    1100      900     0.00027311     0.00012995     0.00020276     0.00034654     0.00060890     0.00101535
    1100      917     0.00030716     0.00015088     0.00023226     0.00039394     0.00068597     0.00113753
    1100      933     0.00031427     0.00015113     0.00023445     0.00039914     0.00069830     0.00116177
    1100      950     0.00032822     0.00015686     0.00024311     0.00041371     0.00072705     0.00121251
    1100     1000     0.00051391     0.00024567     0.00038301     0.00065512     0.00115098     0.00193248
    1100     1015     0.00029063     0.00014082     0.00021760     0.00036403     0.00063369     0.00105840
    1150        1     8.38982968     1.22205355     2.38057767     7.27549993    14.64136159    22.06483379
    1150       50     0.00507623     0.00242620     0.00344448     0.00526275     0.00840879     0.01321283
    1150      100     0.00212122     0.00107324     0.00151044     0.00228962     0.00361287     0.00557605
    1150      150     0.00127123     0.00065738     0.00092524     0.00140255     0.00221284     0.00338287
    1150      200     0.00097947     0.00048861     0.00069738     0.00106944     0.00169606     0.00260764
    1150      250     0.00069949     0.00036040     0.00052166     0.00080919     0.00130586     0.00203665
    1150      300     0.00057079     0.00028153     0.00041803     0.00066116     0.00107785     0.00169743
    1150      350     0.00035750     0.00017184     0.00026309     0.00043129     0.00072375     0.00116013
    1150      400     0.00037991     0.00017841     0.00027406     0.00045667     0.00077362     0.00124978
    1150      450     0.00029466     0.00013784     0.00021425     0.00036011     0.00061549     0.00100124
    1150      500     0.00026740     0.00012603     0.00019722     0.00033280     0.00057429     0.00094030
    1150      550     0.00023109     0.00010713     0.00016941     0.00028836     0.00050223     0.00082143
    1150      600     0.00021295     0.00009727     0.00015493     0.00026497     0.00046365     0.00076561
    1150      650     0.00019417     0.00009073     0.00014406     0.00024732     0.00043450     0.00072477
    1150      700     0.00018884     0.00009005     0.00014128     0.00024252     0.00042419     0.00070308
    1150      750     0.00019786     0.00009152     0.00014576     0.00024906     0.00043782     0.00073006
    1150      800     0.00019075     0.00008832     0.00013954     0.00024075     0.00042679     0.00071283
    1150      850     0.00019832     0.00009577     0.00014934     0.00025517     0.00044847     0.00074781
    1150      900     0.00020819     0.00009921     0.00015492     0.00026488     0.00046550     0.00078146
    1150      950     0.00027760     0.00013626     0.00021164     0.00035552     0.00061935     0.00102742
    1150      967     0.00027544     0.00013454     0.00020940     0.00035171     0.00061550     0.00102689
    1150      983     0.00030774     0.00015196     0.00023329     0.00039327     0.00068497     0.00113627
    1150     1000     0.00037366     0.00017836     0.00027765     0.00046637     0.00081226     0.00134733
    1150     1050     0.00052648     0.00025099     0.00038741     0.00065628     0.00114833     0.00191653
    1150     1065     0.00027563     0.00013407     0.00020432     0.00034303     0.00059727     0.00099771
    1200        1     0.07562788     0.01793691     0.03211561     0.07291904     0.14676543     0.22117311
    1200       50     0.00615765     0.00292862     0.00415946     0.00635335     0.01015231     0.01595462
    1200      100     0.00218381     0.00105987     0.00149879     0.00228082     0.00359877     0.00555325
    1200      150     0.00161484     0.00081807     0.00114647     0.00173108     0.00271093     0.00412718
    1200      200     0.00101997     0.00051988     0.00074185     0.00113777     0.00181796     0.00280548
    1200      250     0.00077949     0.00041251     0.00058874     0.00090266     0.00143526     0.00222341
    1200      300     0.00062084     0.00030362     0.00045071     0.00071270     0.00116174     0.00182976
    1200      350     0.00048373     0.00024507     0.00036576     0.00058097     0.00095142     0.00149241
    1200      400     0.00037702     0.00018927     0.00028645     0.00046582     0.00077409     0.00123078
    1200      450     0.00032621     0.00015720     0.00024144     0.00040231     0.00068154     0.00110065
    1200      500     0.00026167     0.00012589     0.00019680     0.00033210     0.00056772     0.00092345
    1200      550     0.00024476     0.00011693     0.00018229     0.00031145     0.00053998     0.00088677
    1200      600     0.00021792     0.00010172     0.00016210     0.00027716     0.00048707     0.00080671
    1200      650     0.00019936     0.00009362     0.00014694     0.00025231     0.00044353     0.00073453
    1200      700     0.00018443     0.00008567     0.00013634     0.00023322     0.00040972     0.00068551
    1200      750     0.00017756     0.00008235     0.00013019     0.00022446     0.00039815     0.00066270
    1200      800     0.00018296     0.00008816     0.00013736     0.00023503     0.00041297     0.00068392
    1200      850     0.00018172     0.00008569     0.00013563     0.00023096     0.00040601     0.00067938
    1200      900     0.00020700     0.00010112     0.00015682     0.00026697     0.00046519     0.00077682
    1200      950     0.00021289     0.00010370     0.00016091     0.00027395     0.00048135     0.00080013
    1200     1000     0.00026023     0.00012778     0.00019818     0.00033730     0.00058986     0.00098454
    1200     1017     0.00029655     0.00014443     0.00022433     0.00037683     0.00065647     0.00108900
    1200     1033     0.00031677     0.00015159     0.00023598     0.00039636     0.00069033     0.00114509
    1200     1050     0.00032677     0.00015979     0.00024603     0.00041681     0.00073259     0.00121365
    1200     1100     0.00047857     0.00022770     0.00035483     0.00060683     0.00106676     0.00179111
    1200     1115     0.00026600     0.00012702     0.00019566     0.00033190     0.00057775     0.00096496
    1250       50     0.00533177     0.00249642     0.00355038     0.00546265     0.00881602     0.01399210
    1250      100     0.00212425     0.00106594     0.00150059     0.00227443     0.00358920     0.00553908
    1250      150     0.00148728     0.00071436     0.00100516     0.00152378     0.00240420     0.00371059
    1250      200     0.00103916     0.00054204     0.00076605     0.00116592     0.00183954     0.00283891
    1250      250     0.00076861     0.00040296     0.00057242     0.00087427     0.00138642     0.00213183
    1250      300     0.00068111     0.00034191     0.00049258     0.00076102     0.00121600     0.00189389
    1250      350     0.00050706     0.00025236     0.00037413     0.00059846     0.00098479     0.00155209
    1250      400     0.00044241     0.00020875     0.00031604     0.00051385     0.00085405     0.00135799
    1250      450     0.00031608     0.00015637     0.00024192     0.00039996     0.00067743     0.00109016
    1250      500     0.00029436     0.00013997     0.00021730     0.00036532     0.00062475     0.00101224
    1250      550     0.00023616     0.00011152     0.00017561     0.00029774     0.00051601     0.00084434
    1250      600     0.00021777     0.00010466     0.00016464     0.00027916     0.00048607     0.00080045
    1250      650     0.00019916     0.00009232     0.00014591     0.00025154     0.00044205     0.00073214
    1250      700     0.00018116     0.00008384     0.00013327     0.00023075     0.00040741     0.00067644
    1250      750     0.00017071     0.00008080     0.00012845     0.00022239     0.00039265     0.00065642
    1250      800     0.00017845     0.00008364     0.00013210     0.00022789     0.00040051     0.00067022
    1250      850     0.00016884     0.00007648     0.00012165     0.00021069     0.00037535     0.00063035
    1250      900     0.00018294     0.00008686     0.00013644     0.00023415     0.00041329     0.00068870
    1250      950     0.00018681     0.00008866     0.00013836     0.00023651     0.00041775     0.00069818
    1250     1000     0.00022400     0.00010756     0.00016672     0.00028370     0.00049614     0.00082528
    1250     1050     0.00026901     0.00013186     0.00020485     0.00034447     0.00059973     0.00099461
    1250     1067     0.00027420     0.00013261     0.00020445     0.00034634     0.00060587     0.00100788
    1250     1083     0.00028833     0.00013956     0.00021531     0.00036476     0.00064114     0.00106561
    1250     1100     0.00033710     0.00016154     0.00025068     0.00042624     0.00074615     0.00124072
    1250     1150     0.00051843     0.00023886     0.00037475     0.00064295     0.00114043     0.00192346
    1250     1165     0.00025116     0.00012160     0.00018782     0.00031449     0.00054791     0.00091161
    1300       50     0.00536580     0.00258787     0.00365069     0.00561212     0.00905754     0.01437621
    1300      100     0.00283387     0.00135212     0.00190287     0.00288494     0.00455211     0.00702458
    1300      150     0.00172863     0.00083129     0.00117520     0.00178831     0.00283596     0.00440107
    1300      200     0.00120390     0.00057682     0.00081579     0.00124119     0.00195873     0.00302256
    1300      250     0.00078631     0.00040091     0.00057186     0.00087687     0.00140116     0.00216255
    1300      300     0.00061643     0.00031947     0.00046466     0.00072368     0.00116811     0.00180553
    1300      350     0.00054173     0.00026987     0.00039968     0.00063938     0.00104731     0.00164997
