msbottom     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1300      600     0.00029583     0.00014965     0.00023002     0.00038315     0.00065493     0.00107352
    1300      650     0.00027700     0.00013940     0.00021435     0.00035704     0.00061066     0.00100068
    1300      700     0.00026872     0.00013151     0.00020432     0.00034371     0.00059286     0.00097787
    1300      750     0.00023956     0.00011834     0.00018266     0.00030937     0.00053865     0.00088722
    1300      800     0.00024420     0.00012426     0.00019315     0.00032443     0.00055999     0.00092007
    1300      850     0.00023034     0.00011446     0.00017640     0.00029911     0.00052073     0.00086059
    1300      900     0.00023168     0.00011886     0.00018200     0.00030415     0.00052732     0.00086935
    1300      950     0.00025497     0.00012856     0.00019790     0.00033260     0.00057653     0.00095362
    1300     1000     0.00029318     0.00014772     0.00022702     0.00037837     0.00065297     0.00107666
    1300     1050     0.00035033     0.00017715     0.00027071     0.00044935     0.00077579     0.00127889
    1300     1100     0.00066927     0.00033417     0.00051054     0.00084749     0.00146941     0.00243015
    1300     1117     0.00092886     0.00046715     0.00071367     0.00118355     0.00204295     0.00339265
    1300     1133     0.00074117     0.00037806     0.00057777     0.00095904     0.00165536     0.00274042
    1300     1150     0.00073009     0.00037346     0.00056187     0.00093645     0.00160037     0.00262317
    1300     1200     0.00085610     0.00044558     0.00067663     0.00111809     0.00191127     0.00313250
    1350       50     0.01098423     0.00591183     0.00828293     0.01251192     0.01968886     0.03029912
    1350      100     0.00474372     0.00248408     0.00348643     0.00521439     0.00810159     0.01228094
    1350      150     0.00283295     0.00158159     0.00219684     0.00329295     0.00509121     0.00768663
    1350      200     0.00193735     0.00104156     0.00145265     0.00218516     0.00339582     0.00514731
    1350      250     0.00142142     0.00078650     0.00110649     0.00167741     0.00262727     0.00399929
